업소명,위생등급제 가게,재방문률이 높은,최근에 자주가는,맛있는,가성비,깔끔하고 분위기가 좋은,신선한,친절한,혼밥,칠암동,가좌동
지에스25진주MBC점,,,,,,,,,,,1
지에스25진주가좌우리점,,,,,,,,,,,1
지에스25진주개양점,,,,,,,,,,,1
지에스25진주경상대정문점,,,,,,,,,,,1
지에스25진주미라주점,,,,,,,,,,,
지에스25진주천전점,,,,,,,,,,1,
지에스25진주칠암원룸점,,,,,,,,,,1,
지에스25진주하늘마을점,,,,,,,,,,1,
지유꼬꼬닭,,,,,,,,,,,
지윤식당,,,,,,,,,,,
지코바숯불양념치킨,,,,,,,,,,,1
지코바치킨,,,,,,,,,,,
지코바치킨신진주역점,,,,,,,,,,,1
진가옥 경상대직영점,,,1,1,1,1,,1,1,,1
진가네,,,,,,,,,,,1
진남정 식육식당,,,,,,,,,,,1
진미,,,,,,,,,,,1
진미가한식부페,,,,,,,,,,,
진성식당,,,,,,,,,,1,
진주경상대1호점빽다방,,1,,,,,,,,,1
진주국밥,,,,,,,,,,1,
진주돌솥밥,,,,,,,,,,1,
진주바틀샵,,1,,,,,,,,1,
진주실비,,,,,,,,,,1,
진주양푼국수전문점,,1,,,,,,,,,1
진주초밥,,,,,,,,,,1,
진주추어탕,,,,,,,,,,,
진주팥죽칠암점,1,,,,,,,,,1,
집밥,,,,,,,,,,1,
짬뽕공장,,,,,,,,,,,1
쪼닭 경상대점,,,1,1,1,,,1,,,1
찐이야숯불두마리치킨 칠암점,,,,,,,,,,1,
차칸만두,,,,,,,,,,,
착한술집,,,,,,,,,,1,
착한쭝식진주경상대점,,,,,,,,,,,1
"참살이숯불장어,엑기스",,,,,,,,,,,
참숯삼가한우라예(신역점),,,,1,,,,1,,,1
참숯화로구이부산냉면,,,,,,,,,,,1
참치예찬,,,,,,,,,,1,
창평국밥,,,,,,,,,,,1
처프트(CHUFFED),,,1,1,1,1,,,,1,
천년의비빔밥,,,,,,,,,,1,
천마,,,,,,,,,,,1
천씨씨 과기대,,,,,,,,,,1,
천씨씨신진주역점,,,,,,,,,,,1
천탁,,,,,,,,,,,1
청기와콩나물해장국,,,,,,,,,,,1
청년다방 진주경상대점,,,1,1,,,,,,,1
청암식당,,,,,,,,,,1,
청월,,,1,1,,1,,1,,1,
청자,,,,,,,,,,,
청춘밥상,,,,1,,,,,,,1
청춘오겹,,,,,,,,,,,
촵촵버거 신진주역점(CHOP CHOP BURGER),,,,,,,,,,,1
충무김밥칠암점,,,,,,,,,,1,
충청도식당,,,,,,,,,,1,
칠남매감자탕,,,,,,,,,,1,
칠성포차칠암점,,,1,1,1,,,,,1,
칠암곰탕,,,,,,,,,,1,
칠암동,,,,,,,,,,1,
칠암상회,,,,,,,,,,1,
칠암장어곰장어구이,,,,,,,,,,1,
카시강,,,,,,,,,,1,
카페051,1,,,,,,,,,,1
카페502(cafe502),,1,,,,1,,,,,1
카페냠냠,,,,,,,,,,,1
카페로움 ROUMM,,,,,,,,,,,1
카페만나(KAFFE MANNAH),,,,,,,,,,1,
카페미송,,,,,,,,,,1,
카페봄봄,,,,,,,,,,1,
카페봄봄,,,,,,,,,,1,
카페비상,,,,,,,,,,1,
카페앤북스,,,1,,1,1,,1,,,1
카페오다,,,,,,,,,,,1
카페와이와이와이(cafe YYY),1,,,1,,1,,1,,,1
카페율,,,,,,1,,,,1,
카페이비뎀(Cafe Ibidem),,,,,,,,,,,1
카페인더박스(CAFE IN THE BOX),,,,,,,,,,,1
카페진담,,1,,,,,,,,,
카페테리아모디(CAFETERIA MAUDIE),,,,,,,,,,1,
캘리포니아키친(California Kitchen),,,,1,,,,1,1,1,
커피303,,1,,,,,,,,1,
커피대장 가호점,,,,,,,,,,,1
커피마마스,,,,,,,,,,,
커피수레,,,,,,,,,,1,
커피에반하다센텀병원점,,1,,,,,,,,,
커피콩,,,,,,,,,,,
커피플라워,1,,,,,1,,,,,1
커피향기,,,,,,,,,,1,
