rest,Rest_id,alone,date,delicious,fresh,goodValue,hygiene,kindness,many,mood,parking,recent
붕호땅,G212,0,4,101,37,47,2,36,5,3,2,8
브레드33,G213,0,0,65,20,63,0,32,0,0,0,0
브로이하우스호탄점,G214,0,0,70,0,17,0,36,0,0,0,16
블랙폼,G215,1,0,20,0,5,4,5,0,3,0,2
블루리본컵케익,G216,0,0,691,0,0,0,132,0,226,0,0
블루포트 경상대학교병원점,C110,0,0,160,0,0,0,34,0,48,0,0
블루포트경남과학기술대학교점,C111,0,0,45,0,7,0,19,0,0,0,0
비가오는날엔,G217,0,0,79,0,31,17,32,2,30,6,28
비금,C112,0,0,38,0,37,0,14,0,0,0,0
빌레이커피집,C113,11,1,80,36,32,0,32,8,5,0,11
빙그레포차,C114,0,0,106,0,0,0,36,0,19,0,0
빽다방 진주경상대후문점,G218,0,0,37,0,14,0,0,15,15,0,0
빽다방 진주과기대점,C115,0,0,461,0,135,53,117,1,27,14,83
빽다방 진주역점,G219,0,0,832,0,307,82,145,1,55,4,91
빽다방 진주호탄점,G220,0,0,581,0,247,0,172,0,0,0,0
빽다방진주경상대1호점,G221,0,0,379,0,192,0,116,0,0,0,69
뺑드,C116,0,0,651,0,235,0,131,0,0,0,0
뼈대 식육식당,G222,0,0,44,0,0,0,13,0,0,0,10
사운드가든,G223,0,0,0,103,115,0,91,0,0,11,45
사천냉면,C117,7,6,16,0,2,14,9,3,57,0,3
산대쭈꾸미,C118,0,0,88,29,0,0,34,37,0,0,0
산울림식당,G224,0,0,63,14,20,0,9,0,0,0,0
산청식육식당,C119,1,2,13,6,10,0,6,3,0,0,1
삼삼밀면,G225,0,0,15,2,6,0,2,0,0,0,0
삼천포실비,G226,0,0,284,64,134,0,66,0,0,0,0
삼첩분식 칠암점,C120,0,0,10,4,5,0,4,4,0,0,4
상남자키친 경상대점,G227,0,0,0,0,0,0,0,0,0,0,0
상림기러기가든,G228,2,7,183,56,71,13,55,33,34,0,34
상하이객잔,C121,0,0,0,0,0,0,0,0,0,0,0
색다른밥,G229,10,1,51,7,32,0,14,7,3,0,2
색동가,G230,3,1,118,70,128,5,41,11,16,2,8
샌드데이 경상대점,G231,6,7,188,44,63,0,37,68,3,66,19
샌디고,C122,5,1,54,26,55,1,17,1,1,2,10
샐러드랩,G232,0,0,0,0,0,0,0,0,0,0,0
샐러든 진주칠암본점,C123,0,0,0,0,0,0,0,0,0,0,0
생마차 진주경상대점,G233,55,4,210,212,105,8,103,34,32,1,70
생마차 진주칠암점,C124,0,0,36,0,17,0,0,0,11,0,0
생초식당 본점,G234,0,0,30,0,18,0,18,0,0,0,0
샤블리,C125,3,0,82,31,21,0,22,11,2,3,14
샬로우커피 진주역점,G235,0,0,15,3,3,0,6,0,7,0,0
서요 경상대점,G236,0,0,183,0,8,18,27,1,38,4,15
서울냉면 본점,G237,0,0,328,0,0,0,0,0,128,0,0
서퍼커피,G238,0,0,41,0,35,0,17,0,15,0,0
석봉토스트 칠암점,C126,0,0,0,0,0,0,0,0,0,0,0
설빙 진주경상대점,G239,0,0,0,0,0,0,0,0,0,0,0
성진관,C127,0,0,221,0,0,58,39,0,0,0,0
세렌디피티,C128,18,0,37,15,33,0,0,0,0,0,0
세진수산회 가호점,G240,0,0,32,0,0,0,11,0,10,0,0
센트럴베이크샵,G241,1,0,25,27,18,0,14,0,0,1,7
셀렉토커피 진주호탄점,G242,0,0,877,0,0,0,0,0,167,0,0
소림마라 경남진주점,G243,0,0,80,0,9,13,9,1,7,0,13
소림타운 진주점,G244,0,0,0,0,0,0,0,0,0,0,0
소문난반성장터국밥,C129,0,0,0,0,0,0,0,0,0,0,0
소소공간,C130,0,0,71,0,41,0,18,0,0,0,0
소소커피,G245,0,0,0,0,0,0,0,0,0,0,0
소오원 진주본점,G246,0,0,201,0,8,46,49,0,67,0,46
소우리,C131,0,0,1089,1011,0,0,456,457,478,0,0
소우주,C132,0,0,270,0,64,0,65,74,0,0,54
소호스시,G247,10,0,52,1,4,18,26,0,8,0,13
솔밭샤브 진주역점,G248,1,20,99,59,29,22,42,24,43,30,57
송도갈비살,G249,6,0,15,7,0,0,6,0,5,0,0
솥 가호점,G250,2,2,102,55,73,0,46,52,4,14,26
솥밥갤러리,C133,11,2,52,29,42,0,19,0,5,1,11
수내닭꼬치 경상대점,G251,0,0,88,57,33,0,28,0,0,0,0
수돈까스,C134,6,0,20,0,15,0,6,0,0,0,0
수라간,C135,0,0,0,0,0,0,0,0,0,0,0
수라짬뽕,G252,0,0,32,0,0,0,13,0,6,0,7
수유리우동집 진주역점,G253,16,0,124,69,74,6,53,43,17,9,35
수작 진주경상대점,G254,45,0,78,0,30,0,38,0,0,0,34
수풀림 진주경상대점,G255,0,0,97,0,46,0,63,0,0,0,0
수해복마라탕,G256,0,0,12,0,0,0,4,0,9,0,0
수해복마라탕&샹궈 진주칠암점,C136,73,5,504,242,273,2,132,55,18,11,86
순살몬스터 가호마을,G257,0,0,54,22,14,0,24,0,0,0,14
순수덮밥,G258,0,0,0,0,0,0,0,0,0,0,0
순이네,C137,201,0,359,162,298,33,80,109,90,1,126
순이네식당,C138,5,1,23,7,10,0,10,1,0,3,3
술이야안주야,C139,0,0,0,0,0,0,0,0,0,0,0
숯돈,G259,0,0,0,0,0,0,0,0,0,0,0
숯불과닭발,G260,0,0,0,0,0,0,0,0,0,0,0
